label,text
🥰,I expect so.
🥰,I expect that sounds right.
🥰,I expect to hear good stuff from you.
🥰,I feel an epiphany.
🥰,I feel an insight.
🥰,I feel at ease.
🥰,I feel belonging.
🥰,I feel connected.
🥰,I feel disinhibited.
🥰,I feel earnest.
🥰,I feel faithful.
🥰,I feel hope.
🥰,I feel improved.
🥰,I feel like I realize it now.
🥰,I feel like it was an epiphany.
🥰,I feel okay.
🥰,I feel optimistic.
🥰,I feel ready.
🥰,I feel relief.
🥰,I feel so at ease.
🥰,I feel so disinhibited.
🥰,I feel so improved.
🥰,I feel so ready.
🥰,I feel so realized.
🥰,I feel so relieved.
🥰,I feel solidarity.
🥰,I feel unobstructed.
🥰,I felt ok.
🥰,I focused on how I felt.
🥰,I get a feeling like relief.
🥰,I get an insight or a feeling like a solution.
🥰,I get feeling like belonging to a group or sense of purpose.
🥰,I get feeling like disinhibited.
🥰,I get feeling like I realized I did.
🥰,I get feeling like I'm really at ease.
🥰,I get feeling like optimistic.
🥰,I get feeling like unobstructed.
🥰,I get feeling like we all feel a sense of solidarity.
🥰,I get the feeling like I'm improving.
🥰,I have a sense of belonging.
🥰,I have a sense of solidarity.
🥰,I have absolutely no doubt.
🥰,I have an urge to create.
🥰,I have faith in you.
🥰,I have faith.
🥰,I have no doubt.
🥰,I have no doubts.
🥰,I have zero doubts.
🥰,I heard they were connected.
🥰,I hope so.
🥰,I just get an urge to create.
🥰,I look forward to hearing from you.
🥰,I realized.
🥰,I really hope so.
🥰,I see four lights.
🥰,I suppose so.
🥰,I trust her because she's one of the best.
🥰,I was fortunate to call him friend.
🥰,I was so moved.
🥰,I'm connected.
🥰,I'm expectant.
🥰,I'm faithful.
🥰,I'm ok.
🥰,I'm supposed to.
🥰,improving
🥰,insight
🥰,It is fortunate to know him.
🥰,It is okay.
🥰,It is perfect in a way that few could ever be.
🥰,It is supposed to look like that.
🥰,It is the truth and not just a fairy tale.
🥰,It looks just like I would expect.
🥰,It perfectly captures childhood in a way that few movies ever could.
🥰,It was a great party and I look forward to the next.
🥰,It's a step in the right direction.
🥰,It's a step in the right way to say four lights.
🥰,It's definitely a step in the right direction.
🥰,Last time you felt you could belong.
🥰,Last time you seemed at ease.
🥰,Last time you seemed disinhibited.
🥰,Last time you seemed earnest.
🥰,Last time you seemed improving.
🥰,Last time you seemed insightful.
🥰,Last time you seemed like you realized.
🥰,Last time you seemed optimistic.
🥰,Last time you seemed ready.
🥰,Last time you seemed relieved.
🥰,Last time you seemed self-confident.
🥰,Last time you seemed to be able to find some hope.
🥰,Last time you seemed to feel an epiphany.
🥰,Last time you seemed to feel solidarity.
🥰,Last time you seemed to have an urge to create.
🥰,Last time you seemed unobstructed.
🥰,Life is a blessing.
🥰,moving story
🥰,My faith is important.
🥰,okay
🥰,Okay was how she felt.
🥰,One of the best.
🥰,One step at a time.
🥰,Only a few can capture childhood so perfectly.
🥰,optimistic
🥰,ready
🥰,realized
🥰,recovered
🥰,relief
🥰,self-confidence
🥰,Self-confidence feels natural when you feel it.
🥰,She appears insightful.
🥰,She expects it.
🥰,She feels connected.
🥰,She feels her faith.
🥰,She feels okay.
🥰,She feels really like she belongs.
🥰,She felt a complete solidarity.
🥰,She felt a sense of self-confidence.
🥰,She felt faithful.
🥰,She felt ok.
🥰,She felt she realized.
🥰,She felt sincerely earnest.
🥰,She had an insight.
🥰,She had an urgent need to create.
🥰,She has a quiet power.
🥰,She hoped it would be so.
🥰,She is having an epiphany.
🥰,She is really at ease.
🥰,She is really disinhibited.
🥰,She is really expressing her solidarity.
🥰,She is really feeling an epiphany.
🥰,She is really hopeful.
🥰,She is really improving.
🥰,She is really optimistic.
🥰,She is really ready.
🥰,She is really realized.
🥰,She is really relieved.
🥰,She looks insightful.
🥰,She looks like disinhibited.
🥰,She looks like she belongs.
🥰,She looks like she feels solidarity with them.
🥰,She looks like she has an urge to create.
🥰,She looks like she has self-confidence.
🥰,She looks like she's at ease.
🥰,She looks like she's focused.
🥰,She looks like she's having an epiphany.
🥰,She looks like she's hopeful.
🥰,She looks like she's improving.
🥰,She looks like she's ready.
🥰,She looks optimistic.
🥰,She looks quite earnest.
🥰,She looks relieved.
🥰,She looks unobstructed.
🥰,She simply optimistic.
🥰,She sounds like she believes.
🥰,She supposed he wouldn't.
🥰,She totally at ease.
🥰,She totally belonged.
🥰,She totally feels ready.
🥰,She totally focused on that to the exclusion of all else.
🥰,She totally improving.
🥰,She totally unobstructed.
🥰,She was a woman taken all for all we shall not see her like again.
🥰,She was simply disinhibited.
🥰,She's ok.
🥰,solidarity
🥰,Someone can feel improvement.
🥰,Someone feels earnest.
🥰,Someone feels focused.
🥰,Someone feels ready.
🥰,Someone feels relieved.
🥰,Someone feels unobstructed.
🥰,supposed
🥰,That is as it is supposed to be.
🥰,That made him okay.
🥰,That story is very moving.
🥰,The artist triumphantly returns to filmmaking with a work of quiet power.
🥰,The classic story of childhood wonders.
🥰,The other time you seemed focused on the results.
🥰,The performance was powerful.
🥰,The story makes me feel emotions.
🥰,The story moved me.
🥰,The view is four lights.
🥰,The worries of childhood are presented in fairy tales.
🥰,There are twelve steps.
🥰,There is no doubt about it.
🥰,They all felt a sense of belonging.
🥰,They all felt earnest.
🥰,They all felt hope.
🥰,They all felt optimistic.
🥰,They all felt ready.
🥰,They all felt relief at the news.
🥰,They all felt self-confident about themselves.
🥰,They all felt the same insight.
🥰,They are connected.
🥰,They are expecting.
🥰,They are okay.
🥰,They are supposed to.
🥰,They could feel an urge to create.
🥰,They expect all that.
🥰,They feel a profound belief.
🥰,They feel connected.
🥰,They feel okay.
🥰,They felt a general focus.
🥰,They felt faith in us.
🥰,They felt in solidarity.
🥰,They felt unobstructed.
🥰,They have faith in us.
🥰,They seemed as if it was an epiphany.
🥰,They seemed at ease.
🥰,They seemed disinhibited.
🥰,They seemed focused on specifics.
🥰,They seemed improving.
🥰,They seemed insightful.
🥰,They seemed optimistic.
🥰,They seemed ready.
🥰,They seemed realized.
🥰,They seemed so self-confident.
🥰,They seemed to feel earnest.
🥰,They seemed to feel solidarity.
🥰,They seemed to feel that they belonged.
🥰,They seemed to feel they could find hope.
🥰,They seemed unobstructed.
🥰,They sound faithful to me.
🥰,They supposed it was so.
🥰,They urged us to create.
🥰,They're ok.
🥰,This is an epiphany.
🥰,This is not a stand up and cheer story it is sit down and ponder.
🥰,This is the epitome of epiphanies I think.
🥰,This time I felt a little hope.
🥰,This time I felt a real sense of solidarity.
🥰,This time I felt an epiphany.
🥰,This time I felt an insight.
🥰,This time I felt an urge to create.
🥰,This time I felt at ease.
🥰,This time I felt disinhibited.
🥰,This time I felt earnest.
🥰,This time I felt I belonged.
🥰,This time I felt I could focus.
🥰,This time I felt I realized it.
🥰,This time I felt improving.
🥰,This time I felt optimistic.
🥰,This time I felt relieved.
🥰,This time I felt some self-confidence.
🥰,This time I felt unobstructed.
🥰,unobstructed
🥰,urge to create
🥰,We had a great time; a great party.
🥰,We shall not see her like again.
🥰,We were fortunate to know her.
🥰,Well-crafted filmmaking should attract audiences hungry for quality.
🥰,You appear to be connected.
🥰,You know there's something there.
🥰,You seem earnest.
🥰,You seem focus.
🥰,You seem like a person of faith.
🥰,You seem ready.
🥰,You seem relieved.
🥰,You seem self-confident.
🥰,You seem to feel an urge to create.
🥰,You seem unobstructed.
🥰,You sound okay.
🥰,You would have to be completely heartless unless you felt something.
🥰,You'd have to be a most hard-hearted person not to be moved.
🥰,You'd have to be hard not to feel moved.
🥰,You'd have to have a heart made of stone not to be moved.
🥰,You're on the right track.
🥰,You've recovered and are a survivor.
🥰,You've recovered and no longer feel heartless.
🥰,absorbed
🥰,admiration
🥰,Appear confident.
🥰,assured
🥰,boldness
🥰,caring
🥰,certain
🥰,comfortable
🥰,committed
🥰,concentration
🥰,confidence
🥰,courage
🥰,daring
🥰,determined
🥰,empathy
🥰,empowered
🥰,entrusting
🥰,fairness
🥰,fearless
🥰,fondness
🥰,grit
🥰,grudging respect
🥰,He acted dutifully.
🥰,He appeared to be a model of justice.
🥰,He assured her.
🥰,He feels certain.
🥰,He feels comfortable.
🥰,He feels confidence.
🥰,He feels nurturing.
🥰,He feels secure.
🥰,He feels sure.
🥰,He feels very trustworthy.
🥰,He felt confident.
🥰,He felt he was fair.
🥰,He felt it was a matter of honor.
🥰,He felt like he belonged.
🥰,He felt safe.
🥰,He felt truly tender.
🥰,He felt very certain.
🥰,He is assured.
🥰,He is certain.
🥰,He is confident.
🥰,He is feeling certain.
🥰,He is safe.
🥰,He knew respect and knew went it means to me.
🥰,He looked absorbed.
🥰,He looked daring.
🥰,He looked determined.
🥰,He looked empowered.
🥰,He looked grudgingly respectful.
🥰,He looked heartened.
🥰,He looked in control.
🥰,He looked like he could use a feeling of perseverance.
🥰,He looked like he felt courage.
🥰,He looked like he felt gritty.
🥰,He looked like he felt he could empathize.
🥰,He looked like he was caring.
🥰,He looked like the very picture of honor.
🥰,He looked on in total concentration.
🥰,He looked proud.
🥰,He looked reassured.
🥰,He looked to her to be fair.
🥰,He looks really trustworthy.
🥰,He looks so certain.
🥰,He said it was his duty.
🥰,He sounded bold.
🥰,He sounded sincere about justice.
🥰,He sounded very nurturing.
🥰,He sounds as if he cares.
🥰,He sounds as if he must persevere.
🥰,He sounds as if he's concentrating.
🥰,He sounds committed.
🥰,He sounds courageous.
🥰,He sounds daring.
🥰,He sounds empathic to her feelings.
🥰,He sounds fair.
🥰,He sounds fearless.
🥰,He sounds fond of him.
🥰,He sounds honorable.
🥰,He sounds in control.
🥰,He sounds like he admires them.
🥰,He sounds like he feels respect.
🥰,He sounds reassured.
🥰,He sounds so tender in a good way.
🥰,He took pride in his ideas.
🥰,He tried to be empathic.
🥰,He was absorbed.
🥰,He was admiring openly.
🥰,He was bold.
🥰,He was committed.
🥰,He was concentrating.
🥰,He was considering a grudging respect.
🥰,He was courageous.
🥰,He was daring.
🥰,He was determined.
🥰,He was empowered.
🥰,He was fearless.
🥰,He was feeling like it was actual grit.
🥰,He was heartened.
🥰,He was in control.
🥰,He was just when he acted.
🥰,He was reassured.
🥰,He was respectful.
🥰,He was truly caring.
🥰,He was truly feeling fondness.
🥰,He was willing to persevere.
🥰,He's certain.
🥰,He's safe.
🥰,heartened
🥰,Her duty was grounded in her actions.
🥰,honor
🥰,I admire you.
🥰,I am a proponent of justice.
🥰,I am admired.
🥰,I am assured.
🥰,I am bold.
🥰,I am certain.
🥰,I am comfortable.
🥰,I am committed.
🥰,I am concentrating.
🥰,I am confident.
🥰,I am courageous.
🥰,I am daring.
🥰,I am determined.
🥰,I am disinhibited.
🥰,I am dutiful.
🥰,I am empowered.
🥰,I am entrusting you with my life.
🥰,I am fair.
🥰,I am fearless.
🥰,I am feeling certain.
🥰,I am fond of you.
🥰,I am heartened.
🥰,I am here to listen.
🥰,I am honored by this.
🥰,I am in control.
🥰,I am nurturing.
🥰,I am proud.
🥰,I am really absorbed in this right now.
🥰,I am reassured.
🥰,I am respected.
🥰,I am safe.
🥰,I am secure.
🥰,I am tender.
🥰,I can feel concentration.
🥰,I care.
🥰,I discern feeling like you're reassured.
🥰,I empathize.
🥰,I feel a grudging respect.
🥰,I feel a grudging respect.
🥰,I feel a sense of fairness.
🥰,I feel a sense of justice.
🥰,I feel admiration.
🥰,I feel bold.
🥰,I feel certain.
🥰,I feel comfortable.
🥰,I feel committed.
🥰,I feel concentration.
🥰,I feel courage.
🥰,I feel daring.
🥰,I feel determined.
🥰,I feel empathy.
🥰,I feel empowered.
🥰,I feel fearless.
🥰,I feel fondness.
🥰,I feel heartened.
🥰,I feel honored.
🥰,I feel how important justice is.
🥰,I feel I can be trusting.
🥰,I feel in control.
🥰,I feel it is such an honor.
🥰,I feel like I can share empathy with others.
🥰,I feel like I'm courageous.
🥰,I feel like I'm gritty.
🥰,I feel like I'm in focus.
🥰,I feel like it's an honor just to be nominated.
🥰,I feel nurtured.
🥰,I feel perseverance.
🥰,I feel pretty absorbed.
🥰,I feel pride.
🥰,I feel reassured.
🥰,I feel respect.
🥰,I feel secure.
🥰,I feel self-confidence.
🥰,I feel so committed.
🥰,I feel so fearless.
🥰,I feel so much fondness.
🥰,I feel so much pride.
🥰,I feel so tender.
🥰,I feel some boldness.
🥰,I feel tenderness.
🥰,I feel the urge to create.
🥰,I feel true caring.
🥰,I felt certain.
🥰,I felt confident.
🥰,I felt I could admire him.
🥰,I felt like I did my duty.
🥰,I felt my duty was clear.
🥰,I get absorbed in things.
🥰,I get around to feeling proud.
🥰,I get feeling like daring.
🥰,I get feeling like heartened.
🥰,I get feeling like I'm committed.
🥰,I get feeling like I'm in control.
🥰,I get feeling like it's grudging respect.
🥰,I get feeling like justice is not just something but the thing.
🥰,I get feeling like you have to be fair.
🥰,I get how it's like to feel determined.
🥰,I get some respect.
🥰,I have a feeling like I'm empowered.
🥰,I have a grudging respect.
🥰,I have grit.
🥰,I made a commitment and will do my duty.
🥰,I sure do hear you.
🥰,I think I sound as secure as I feel.
🥰,I understand how it feels when you want to persevere.
🥰,I understand how you want to empathize with the feelings of another.
🥰,I want to be quite certain.
🥰,I want you to be safe.
🥰,I will persevere.
🥰,I'm assured.
🥰,I'm certain.
🥰,I'm comfortable.
🥰,I'm confident.
🥰,I'm nurtured.
🥰,I'm safe.
🥰,I'm secure.
🥰,in control
🥰,It felt like a duty.
🥰,It is assured.
🥰,It is certain.
🥰,It is safe.
🥰,It is secure.
🥰,It's certain.
🥰,It's safe.
🥰,justice
🥰,Last time you had some grit on you.
🥰,Last time you seemed absorbed.
🥰,Last time you seemed bold.
🥰,Last time you seemed committed.
🥰,Last time you seemed daring.
🥰,Last time you seemed empowered.
🥰,Last time you seemed fearless.
🥰,Last time you seemed fond.
🥰,Last time you seemed heartened.
🥰,Last time you seemed in control.
🥰,Last time you seemed just.
🥰,Last time you seemed like you were concentrating.
🥰,Last time you seemed perseverance.
🥰,Last time you seemed proud.
🥰,Last time you seemed reassured.
🥰,Last time you seemed respectful.
🥰,Last time you seemed so determined.
🥰,Last time you seemed tender.
🥰,Last time you seemed to care.
🥰,Last time you seemed to feel honor.
🥰,Last time you seemed to feel that it was fair.
🥰,Last time you seemed to have a grudging respect.
🥰,Last time you seemed to have a sense of empathy.
🥰,Next time you will feel courageous.
🥰,nurtured
🥰,perseverance
🥰,pride
🥰,Project confidence.
🥰,reassured
🥰,respect
🥰,safe
🥰,secure
🥰,She absorbed it all.
🥰,She acted according to her feelings of justice.
🥰,She admired it completely.
🥰,She appears fair.
🥰,She appears very secure.
🥰,She assured him.
🥰,She boldly went.
🥰,She cared for him totally.
🥰,She concentrated.
🥰,She considered it a grudging respect.
🥰,She dared to be different.
🥰,She feels comfortable.
🥰,She feels confidence in the outcome.
🥰,She feels confident.
🥰,She feels entrusted with the responsibility.
🥰,She feels nurtured.
🥰,She feels really tender and gentle.
🥰,She feels safe.
🥰,She feels secure.
🥰,She feels sure.
🥰,She felt an empathy with her feelings.
🥰,She felt it was only fair.
🥰,She felt respectful towards them.
🥰,She felt safe.
🥰,She felt the commitment.
🥰,She felt totally empowered.
🥰,She fully committed herself.
🥰,She gets a feeling like she cares.
🥰,She has felt certain.
🥰,She in control.
🥰,She is assured.
🥰,She is certain.
🥰,She is entrusting him with secrets.
🥰,She is really admiring that.
🥰,She is really committed.
🥰,She is really courageous.
🥰,She is really expressing empathy.
🥰,She is really fearless.
🥰,She is really fond of her.
🥰,She is really gritty.
🥰,She is really honorable.
🥰,She is really in control.
🥰,She is really reassured.
🥰,She is safe.
🥰,She is secure.
🥰,She just fearless.
🥰,She knew she had to persevere.
🥰,She looks bold.
🥰,She looks committed.
🥰,She looks courageous.
🥰,She looks determined.
🥰,She looks fair.
🥰,She looks fearless.
🥰,She looks like empowered.
🥰,She looks like realized.
🥰,She looks like she cares.
🥰,She looks like she empathizes.
🥰,She looks like she feels a sense of justice.
🥰,She looks like she feels admired.
🥰,She looks like she feels tenderness.
🥰,She looks like she honors that.
🥰,She looks like she will persevere.
🥰,She looks like she would dare you.
🥰,She looks like she's absorbed.
🥰,She looks like she's concentrating.
🥰,She looks like she's heartened.
🥰,She looks like she's in control.
🥰,She looks reassured.
🥰,She looks respected.
🥰,She looks very fond of it.
🥰,She really expresses her feelings of justice.
🥰,She really looks nurturing.
🥰,She said it felt like a duty.
🥰,She saw it was grit.
🥰,She seemed to feel boldness.
🥰,She sensed it would be a matter of honor.
🥰,She showed what it meant to feel courage.
🥰,She sometimes sounds trusting.
🥰,She sounds very assured.
🥰,She sure sounds comfortable.
🥰,She totally heartened.
🥰,She totally reassured me.
🥰,She totes dutiful.
🥰,She was feeling a fondness.
🥰,She was in fact determined.
🥰,She was proud of what she had done.
🥰,She was simply tender.
🥰,She will do her duty.
🥰,She's certain
🥰,She's safe.
🥰,She's secure.
🥰,Someone feels a grudging respect.
🥰,Someone feels a little tenderness right now.
🥰,Someone feels absorbed.
🥰,Someone feels admired.
🥰,Someone feels bold.
🥰,Someone feels committed.
🥰,Someone feels determined.
🥰,Someone feels empowered.
🥰,Someone feels fearless.
🥰,Someone feels fondness.
🥰,Someone feels heartened.
🥰,Someone feels like they've got grit.
🥰,Someone feels pride in their accomplishments.
🥰,Sometimes I get bold.
🥰,tender
🥰,The duty felt like a commitment.
🥰,They all felt a concentration.
🥰,They all felt absorbed.
🥰,They all felt admired.
🥰,They all felt empowered.
🥰,They all felt in control.
🥰,They all felt like they were caring.
🥰,They all felt pride.
🥰,They all felt reassured.
🥰,They appear to be safe.
🥰,They are certain.
🥰,They are comfortable.
🥰,They are feeling certain.
🥰,They are feeling safe.
🥰,They are feeling secure.
🥰,They are nurturing.
🥰,They are secure.
🥰,They are truly trusting each other.
🥰,They cared very much about the outcome.
🥰,They feel certain.
🥰,They feel comfortable.
🥰,They feel confidence in me.
🥰,They feel nurtured.
🥰,They feel safe.
🥰,They feel secure.
🥰,They feel sure.
🥰,They felt a true grit.
🥰,They felt certain.
🥰,They felt confident.
🥰,They felt fearless.
🥰,They felt grudging respect for her.
🥰,They felt safe.
🥰,They felt the dare.
🥰,They felt they would persevere.
🥰,They felt true respect.
🥰,They had felt certain.
🥰,They had felt safe.
🥰,They have been entrusted with the care of all.
🥰,They have felt certain.
🥰,They have felt safe.
🥰,They just felt it was fair.
🥰,They must have felt determined.
🥰,They really felt courageous.
🥰,They seemed absorbed.
🥰,They seemed bold.
🥰,They seemed committed.
🥰,They seemed courageous.
🥰,They seemed daring.
🥰,They seemed determined.
🥰,They seemed empowered.
🥰,They seemed fair.
🥰,They seemed fearless.
🥰,They seemed fond at first.
🥰,They seemed heartened.
🥰,They seemed honorable.
🥰,They seemed in control.
🥰,They seemed really tender.
🥰,They seemed reassured.
🥰,They seemed to admire the work.
🥰,They seemed to be proud.
🥰,They seemed to be respectful.
🥰,They seemed to concentrate.
🥰,They seemed to empathize.
🥰,They seemed to feel their decisions were just.
🥰,They seemed to persevere.
🥰,They seemed to value their grit.
🥰,They showed a grudging respect.
🥰,They truly felt heartened.
🥰,They're certain.
🥰,They're feeling certain.
🥰,They're secure.
🥰,This time I cared.
🥰,This time I empathized.
🥰,This time I felt a fondness.
🥰,This time I felt a grudging respect.
🥰,This time I felt a sense of being reassured.
🥰,This time I felt absorbed.
🥰,This time I felt bold.
🥰,This time I felt committed.
🥰,This time I felt courageous.
🥰,This time I felt daring.
🥰,This time I felt empowered.
🥰,This time I felt heartened.
🥰,This time I felt I had grit.
🥰,This time I felt I was concentrating.
🥰,This time I felt I was in control.
🥰,This time I felt it was fair.
🥰,This time I felt perseverance.
🥰,This time I felt pride.
🥰,This time I felt respect.
🥰,This time I felt such an honor.
🥰,This time I felt tender.
🥰,This time I felt there was justice.
🥰,This time I felt truly determined.
🥰,You are an admiration and I admire you.
🥰,You concentrate well.
🥰,You felt like you did your duty.
🥰,You got true grit.
🥰,You look really comfortable.
🥰,You seem absorbed.
🥰,You seem daring.
🥰,You seem determined.
🥰,You seem empowered.
🥰,You seem fearless.
🥰,You seem fond.
🥰,You seem gritty.
🥰,You seem heartened.
🥰,You seem proud.
🥰,You seem to care.
🥰,You seem to feel a grudging respect.
🥰,You seem to feel tenderness.
🥰,You seem to feel you will persevere.
🥰,You seemed to respect that.
🥰,You should be safe.
🥰,You're confident.
🥰,Aces and jacks twenty-one baby!
🥰,adoration
🥰,affection
🥰,Again again again.
🥰,again and again
🥰,Again please.
🥰,beloved
🥰,brotherly love
🥰,camaraderie
🥰,charity
🥰,Consider the virtue of being virtuous.
🥰,dedication
🥰,devoted
🥰,dominant
🥰,egotism
🥰,Every little thing is perfect.
🥰,Everything is going my way.
🥰,Everything is great right now.
🥰,Everything is perfect.
🥰,Feeling virtuous is a moral inference. 
🥰,Feeling virtuous is a powerful feeling.
🥰,forgiveness
🥰,Four of a kind beats your hand.
🥰,Full house wins pay up.
🥰,Give charitably.
🥰,Give some charity.
🥰,gratitude
🥰,He adored every thing about it.
🥰,He appears virtuous.
🥰,He beheld intimacy.
🥰,He feels forgiveness.
🥰,He feels gratitude.
🥰,He feels reliable.
🥰,He feels thanks.
🥰,He feels virtuous.
🥰,He felt he sacrificed.
🥰,He has a bright future.
🥰,He has a lot to look forward to.
🥰,He is forgiven.
🥰,He is grateful.
🥰,He is reliable.
🥰,He is totally hot for her.
🥰,He knows her very well.
🥰,He looked adoringly.
🥰,He looked affectionately at me.
🥰,He looked as if he was beloved.
🥰,He looked brotherly love.
🥰,He looked camaraderie.
🥰,He looked devoted.
🥰,He looked intimately.
🥰,He looked invincible.
🥰,He looked like he felt redemption.
🥰,He looked like he felt superior with a sense of superiority.
🥰,He looked liked he could just feel the romance.
🥰,He looked loved.
🥰,He looked loyal.
🥰,He looked patriotic.
🥰,He looked powerful.
🥰,He looked sweet.
🥰,He looked urgent to provide care.
🥰,He looked valued.
🥰,He redeemed himself.
🥰,He said he was self-important.
🥰,He self-aggrandized.
🥰,He showed he was merciful.
🥰,He sounded really thankful.
🥰,He sounded so reliable.
🥰,He sounded truly forgiven.
🥰,He sounds a bit self-impressed.
🥰,He sounds as if he adores her.
🥰,He sounds beloved.
🥰,He sounds dedicated.
🥰,He sounds egotistical.
🥰,He sounds he feels intimate.
🥰,He sounds like a patriot.
🥰,He sounds like he feels a brotherly love.
🥰,He sounds like he feels a camaraderie.
🥰,He sounds like he feels invincible.
🥰,He sounds like he feels redemption.
🥰,He sounds like he feels superior.
🥰,He sounds like he loves himself.
🥰,He sounds like he trusts his luck.
🥰,He sounds like he will make a sacrifice.
🥰,He sounds like he's urging us to provide help.
🥰,He sounds like loves this.
🥰,He sounds loyal.
🥰,He sounds powerful.
🥰,He sounds romantic.
🥰,He sounds self-aggrandized.
🥰,He sounds self-important.
🥰,He sounds smug.
🥰,He sounds sweet.
🥰,He sounds very dominant.
🥰,He thanks you all.
🥰,He thinks she is totally hot.
🥰,He urged them to provide care.
🥰,He wants it again and again.
🥰,He wants to have virtue.
🥰,He was a true comrade through and through.
🥰,He was affectionate.
🥰,He was beloved.
🥰,He was dedicated.
🥰,He was devoted.
🥰,He was dominant.
🥰,He was egotistical.
🥰,He was feeling a brotherly love.
🥰,He was feeling and talking patriotism.
🥰,He was feeling the urge to provide help.
🥰,He was invincible.
🥰,He was loyal.
🥰,He was powerful.
🥰,He was promoting a feeling of self-love.
🥰,He was quite loved.
🥰,He was romantic.
🥰,He was self-aggrandizing.
🥰,He was self-impressed.
🥰,He was smug and didn't hide it.
🥰,He was sweet.
🥰,He was urgent to provide care.
🥰,He was valued.
🥰,He was very loving.
🥰,He's really charitable.
🥰,Hot.
🥰,I am a comrade.
🥰,I am a model of self-love.
🥰,I am adored.
🥰,I am affectionate.
🥰,I am beloved.
🥰,I am charitable.
🥰,I am dedicated.
🥰,I am devoted.
🥰,I am egotistical.
🥰,I am feeling like I'm dominant.
🥰,I am forgiven.
🥰,I am grateful.
🥰,I am in love.
🥰,I am intimate.
🥰,I am invincible.
🥰,I am loved.
🥰,I am loyal.
🥰,I am merciful.
🥰,I am more than impressed with myself.
🥰,I am patriotic.
🥰,I am powerful.
🥰,I am reliable.
🥰,I am romance.
🥰,I am self-aggrandizing like nobody's business.
🥰,I am sisterly love.
🥰,I am smug.
🥰,I am superior.
🥰,I am sweet.
🥰,I am thankful.
🥰,I am urging all who can to provide care.
🥰,I am urging you to provide help.
🥰,I am valued.
🥰,I can be merciful.
🥰,I can get used to feeling like I am beloved.
🥰,I could do this again and again.
🥰,I dominate.
🥰,I feel a need to be dedicated after hearing you speak.
🥰,I feel a sense of intimacy.
🥰,I feel a sense of superiority.
🥰,I feel a true urge to provide care.
